venue,pool,created_at,result,reason,observed_swap_count,activity_replay_complete,symbol,lp_protection,liquidity_usd,quote_principal_usd,dex_swap_fee_percentage
uniswap-v4,0xa1753c657976b161a7734827c7a780a8930b35d09b78bf699a45fb7b94659a11,2026-09-20T09:32:33+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x9f9990f5c5716deee5bc7f99ef3a64785dc5ee64986ee3f9f132c70f23d5b2d7,2026-09-20T09:32:37+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0xfb6b9963910509970ffb2cdfebf67c3e4791b9370f08e7ff9b01b5aeea77f1e6,2026-09-20T09:33:29+00:00,unresolved,activity_gap_and_other_conditions_unverified,220,False,,,,,
uniswap-v4,0x6c676a65d32d7706fdc65da51b798ff59ef6831499cc58e1facfe7a80affbda0,2026-09-20T09:33:45+00:00,unresolved,activity_gap_and_other_conditions_unverified,85,False,,,,,
uniswap-v4,0x125165f563c41adda7a71faf3c6922d5d929f8221e023e8248dbd5e6f711b4d0,2026-09-20T09:33:49+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x515d13aeafe386c3dda83ec9de71fb6a9f1e530efff78c11aa85b81dec9e94e8,2026-09-20T09:33:57+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x83dcc43baf33fcc614ad4280da14d9ff62f30aac00925553fa6a0feb3c4896b7,2026-09-20T09:35:21+00:00,unresolved,activity_gap_and_other_conditions_unverified,2,False,,,,,
uniswap-v4,0x2016400f29bb0a9c06e021cc1c7fe80f61c373d0749b81d28972a6862798d4b6,2026-09-20T09:35:23+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x727ac60800d5f03bb2b2df888c407088cb9a75cedda2e0666283c9c2aba8b91f,2026-09-20T09:37:37+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x544890060812abe179460f224c2d0db351417dd23cdd2bce0d23e96a3dbcb364,2026-09-20T09:38:05+00:00,unresolved,activity_gap_and_other_conditions_unverified,131,False,,,,,
uniswap-v4,0xd6180e6c91ea54fac55f720f0598e0b4b99313b8983773f2263e1eda812251da,2026-09-20T09:38:09+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x133e3d57d5d6997ac4a1fc59dc1ea315ea2c37fa46fe21cdee50bb23ad2f1184,2026-09-20T09:38:31+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x45d9d159f6f2b5c2487a29a655717897b1a89c6e22606da5776e0a471d3b6daf,2026-09-20T09:38:37+00:00,unresolved,activity_gap_and_other_conditions_unverified,1,False,,,,,
uniswap-v4,0x17ee13140c7a9de7000b0189748d2f6211e2024e21c00c79f7f432de9e55756b,2026-09-20T09:38:45+00:00,unresolved,activity_gap_and_other_conditions_unverified,2,False,,,,,
uniswap-v4,0xe99f4e6488cae510527009d7c43e20a879e1380bd645aceee6a86fc45a479cd8,2026-09-20T09:39:23+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x7ac38595179ba51d289ce43416477cebe6ed0565defb209ea7957aa2444354ac,2026-09-20T09:39:41+00:00,unresolved,activity_gap_and_other_conditions_unverified,3,False,,,,,
uniswap-v4,0xe6b9bacae483a085d90f2053b4d65648885d78f8f8d69ec578d05dc2b88b2338,2026-09-20T09:39:43+00:00,unresolved,activity_gap_and_other_conditions_unverified,2,False,,,,,
uniswap-v4,0x8335a72a2f7f2c4aa81dd48df8af1b5bcf67dd86203b1e8b712b1e9a88e2ba50,2026-09-20T09:39:45+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x0c947b9f7a524d5f2b617462921e84a0f2fa59a40ed64ffc167343fc67e30f11,2026-09-20T09:40:41+00:00,unresolved,activity_gap_and_other_conditions_unverified,1,False,,,,,
uniswap-v4,0xf4d4e0277fb5b9a89e901d84035006eae67a74e392f666049654955014803254,2026-09-20T09:41:29+00:00,unresolved,activity_gap_and_other_conditions_unverified,1,False,,,,,
uniswap-v4,0xd442f7096f876b728a0a1f6e44d4f4c3f6d5ae1fcb68022e71b247da32232f0e,2026-09-20T09:42:13+00:00,unresolved,activity_gap_and_other_conditions_unverified,1,False,,,,,
uniswap-v4,0x73c8f4bd9066bb2cf6935842db15c12b49227fb88a4cf36364d5a2a27f14fbf6,2026-09-20T09:42:19+00:00,unresolved,activity_gap_and_other_conditions_unverified,230,False,,,,,
uniswap-v4,0x58ebec1bde215c864fda0dd56ce06524b35b1199bb279dc60987bf7c8ba6dd42,2026-09-20T09:44:49+00:00,unresolved,activity_gap_and_other_conditions_unverified,40,False,,,,,
uniswap-v4,0xa15475bde45ded7b39af4a16b7f51db30686d67f4e4fcd786ef57f7e8a9b9a91,2026-09-20T09:44:53+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0xeb86cda7012c0810857e24f74416877a0caf24459d0ee565e6d7ec7e563aeeaf,2026-09-20T09:45:15+00:00,unresolved,activity_gap_and_other_conditions_unverified,3,False,,,,,
uniswap-v4,0x7eeab1d6703f7d614ec7df8c819037a7d7a50d1d04d14bb2dacf1aad632af4f1,2026-09-20T09:45:31+00:00,unresolved,activity_gap_and_other_conditions_unverified,192,False,,,,,
uniswap-v4,0xd40387d51485c19423434f2cfbb1a7a24eb76f762745e55cf61bb1d936800912,2026-09-20T09:45:45+00:00,unresolved,activity_gap_and_other_conditions_unverified,83,False,,,,,
uniswap-v4,0x29731b9400a39d7cb6b33b7efd5bd05865bc14b6d12d0fd637f522c3b3cb844e,2026-09-20T09:45:49+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0xcdc86ccc08dbdd2b1a5e4e0415097baea6be51a3ed07992b6333a3700cd6a0ef,2026-09-20T09:46:11+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x21a87a0a680ea92a53c5ddf6aa48ea3235d4fdfef77c0bcd1b9b8218274e6941,2026-09-20T09:46:15+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x7cd013c006c35dbd333ad474f5c783c662aa8e892cfa0f59b0e1dd3c4169a0f6,2026-09-20T09:46:15+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x6168e011e6e63c798c1cea88dc4d648337ad0a59553c90e7ff5bf70ea0c8d2ab,2026-09-20T09:50:07+00:00,unresolved,activity_gap_and_other_conditions_unverified,2,False,,,,,
uniswap-v4,0xc62406ac86a91c253a98a32c928eae2720b0b32955c9712908049f3212ff241a,2026-09-20T09:50:11+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x3127bc4c02e1d7608acb5cc2ead30b7d33312ed50921033f452dba3c7df38cd8,2026-09-20T09:53:53+00:00,unresolved,activity_gap_and_other_conditions_unverified,1,False,,,,,
uniswap-v4,0x709d3162f5de23e8529e432fc9be8b40ae6dac0ac35850dab6fb7eb26916d058,2026-09-20T09:54:25+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x33253516c2daed8bf898f1446930ba87941c2ce2722d0a63b0b9b74d31cee05f,2026-09-20T09:56:25+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x9fc2c041a26f7af0d093ed20e1c0fc4481668147411343a353a91a60f0a692c9,2026-09-20T09:57:13+00:00,unresolved,activity_gap_and_other_conditions_unverified,1,False,,,,,
uniswap-v4,0x955fa878e27483d2f5a1e64df38a0216fe266690618fddb5774268ca102fd585,2026-09-20T09:57:27+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x549a52ab0492798b36458ace0ef1e31a63bdacc2addea304a3cae298924580a8,2026-09-20T09:57:27+00:00,unresolved,activity_gap_and_other_conditions_unverified,261,False,,,,,
uniswap-v4,0x94573575458b47ba62889974aa9032baa9e949ff9cfbdddf8882c189e63373fc,2026-09-20T09:57:33+00:00,unresolved,activity_gap_and_other_conditions_unverified,131,False,,,,,
uniswap-v4,0xfab057d66db1d11710dfdb05ab0b855484e437fddef6121fd81ebc2a00e039b1,2026-09-20T09:57:37+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x2f20eec5945b32624fb6ccb8ba8716aabea99bc7d8e8590b5a863c283042601a,2026-09-20T09:57:47+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x43d31789963792680758026070c5ee50845ac68b02832e56e095ec9016b35553,2026-09-20T09:58:03+00:00,unresolved,activity_gap_and_other_conditions_unverified,212,False,,,,,
uniswap-v4,0x0c49666ac67af67f6fff6fc08650bd8813deed2a2fe52d001fe6317b2a19f085,2026-09-20T09:58:13+00:00,unresolved,activity_gap_and_other_conditions_unverified,1,False,,,,,
uniswap-v4,0x60dab7d3705e72a401cbda52314050b4a8b1e02d324e3c8763f29a4e630c4671,2026-09-20T09:59:23+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0xc946a3d2bf9d801e7836ad0c393b0e53a628ce98ec77b0dd82a0e281ae605eb2,2026-09-20T09:59:39+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0xf800210cdad87e6816a5ebd22a6df35b7b018fc5aa50f111068db3af05163bc7,2026-09-20T10:00:13+00:00,unresolved,activity_gap_and_other_conditions_unverified,1,False,,,,,
uniswap-v4,0x9d5e647d9870581f1ede99b233c925c309393823ae10c2b93baca4c9f566a202,2026-09-20T10:00:17+00:00,unresolved,activity_gap_and_other_conditions_unverified,28,False,,,,,
uniswap-v4,0xfd03d5907e3cdf1042b99aeee33e99502b8e2c75d96698daecd6d038932892d1,2026-09-20T10:00:21+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0xf82f8aef5852ec384252c94e7b0b6f90c6793ac9b5bab21000f2ac361db46a92,2026-09-20T10:00:25+00:00,unresolved,activity_gap_and_other_conditions_unverified,2,False,,,,,
uniswap-v4,0x8aa1e2661b50a45fd657f10754d9f339582e7fab1fdcc81b7e10f228d0046660,2026-09-20T10:00:35+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0xdb6002d5f45681f1f8e3b77d11ea70cddeaeee5490de1d82d77df7709f353a60,2026-09-20T10:00:39+00:00,unresolved,activity_gap_and_other_conditions_unverified,85,False,,,,,
uniswap-v4,0xb8de888a519bb527fd4254a2e62e93ca93ddf253c5f44cd49df09e43caa2e379,2026-09-20T10:00:43+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x0e8f3f22be5507e88c63fe72bb6fc01e568d25b5b7fe88707fa14d0b1ce00c81,2026-09-20T10:01:15+00:00,unresolved,activity_gap_and_other_conditions_unverified,2,False,,,,,
uniswap-v4,0x208669a0a85676c1a95999c0ffb6e762f8acd072ac42a0dd016163473d293b43,2026-09-20T10:01:31+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0xb6a67eebc893f7bdf91a427010650190902e48ec44344e32f66a85975e8c8124,2026-09-20T10:01:39+00:00,unresolved,activity_gap_and_other_conditions_unverified,2,False,,,,,
uniswap-v4,0x6bd4e0aeb45f0d00c02accd245e81183697aa5862333fa829e007a5fd0c3741d,2026-09-20T10:03:57+00:00,unresolved,activity_gap_and_other_conditions_unverified,1,False,,,,,
uniswap-v4,0x89a6f9b67e18c8053ecb83a2bbc49d5f654541cdaf2d8c79842e1d1338830eb5,2026-09-20T10:04:19+00:00,unresolved,activity_gap_and_other_conditions_unverified,278,False,,,,,
uniswap-v4,0x25dd8590d22b166e1269189413bbb883cc945387f42c61eab16a2b1bd993557e,2026-09-20T10:04:23+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x4bdcc19c13c586d0a2084a944cb348e3e9e9af55e36adb2beb6027a40f455ba0,2026-09-20T10:07:29+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x1986c2ff5a2f989936b534f037aaab2874ad1e36fe73413d7501521740f95d5b,2026-09-20T10:07:33+00:00,unresolved,activity_gap_and_other_conditions_unverified,2,False,,,,,
uniswap-v4,0xdf75141065cadff222b2f28de7db98e0a7202680c0df0b58ab028306fd8cf9d4,2026-09-20T10:07:39+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x6b0053005ace270815419ba444bcae061bbe484073430204f5d33150c939f9e6,2026-09-20T10:08:27+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x282891ef3ebf04fb9e3500107e7a99d656afdc4481e836846af7c703a46af96e,2026-09-20T10:08:41+00:00,unresolved,activity_gap_and_other_conditions_unverified,1,False,,,,,
uniswap-v4,0xf687639a85b300c706a1188d549fb7029454fef90a8553a66ace4b5b62f195da,2026-09-20T10:09:49+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x11d997a3487bf14013faa97701808258c23ee00de0b011755c9dea2947a97b5e,2026-09-20T10:10:23+00:00,unresolved,activity_gap_and_other_conditions_unverified,185,False,,,,,
uniswap-v4,0x65b48bdaa078e7445ffc21ef841919010db79bf2f30e75ba98e960fefd1e7947,2026-09-20T10:10:31+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x8ba24d77a6117df1d4f3c011ea597dc391343e90b29619f9f1ff4980fbdd8875,2026-09-20T10:10:39+00:00,unresolved,activity_gap_and_other_conditions_unverified,19,False,,,,,
uniswap-v4,0x9f6fa190fe66ebda29cd73cec0f2cdde4e0ff80b482069929ef74374f7b6b76b,2026-09-20T10:11:59+00:00,unresolved,activity_gap_and_other_conditions_unverified,1,False,,,,,
uniswap-v4,0x2b77a6f10b097c71d638ba6a5d3e2f61a0de6e9903e05c4286ac5ade002817e5,2026-09-20T10:12:13+00:00,unresolved,activity_gap_and_other_conditions_unverified,1,False,,,,,
uniswap-v4,0x752acfede7b90ca7fbecd2658edcb492db3783becda28d8215de9acbca0339c9,2026-09-20T10:12:33+00:00,unresolved,activity_gap_and_other_conditions_unverified,53,False,,,,,
uniswap-v4,0xccfd5fb4847e62edabc86689c7efcfa30cbd006a73a93749e28781152393161c,2026-09-20T10:12:49+00:00,unresolved,activity_gap_and_other_conditions_unverified,84,False,,,,,
uniswap-v4,0x86f52c679acd1e4f9a34af2569dca171e124ad0dd9ff85965fc25470fb6e437e,2026-09-20T10:12:53+00:00,unresolved,activity_gap_and_other_conditions_unverified,0,False,,,,,
uniswap-v4,0x618519dd42befe689eae24e99cb4ee31252888fc3cc67a96c8b4f619cf81349a,2026-09-20T10:15:15+00:00,unresolved,activity_gap_and_other_conditions_unverified,1,False,,,,,
