venue,pool,created_at,locked_liquidity_percentage,basis,admin_change_risk,earliest_unlock_at,reasons
uniswap-v3,0x81f3bD2fF7147a6Fd779fe749f4Bcc82C802C060,2026-09-21T08:44:07+00:00,0,core_rpc_inspection,,,[]
uniswap-v3,0x1dEAb828f8364876009fbD733D6c671095396AD6,2026-09-21T08:20:13+00:00,0,core_rpc_inspection,,,[]
uniswap-v3,0x13A3bEe2CaCDebc8B0Ac2830C83591e0D1f4dDe4,2026-09-21T08:19:41+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0x0CcD9736ea0420F79f250A3E805FCB4E16A0273C,2026-09-21T08:16:55+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0x96192A9007e5660Dd0A5DB39e9B73B34307A54c0,2026-09-21T08:16:53+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0x7354219c00D667f46b0870364b697596FAA239c1,2026-09-21T08:16:51+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0x3A4f5914EA26bb7d3111F063f99c34155840EF72,2026-09-21T08:16:51+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0x1b804C10821884B90DB03233a91EAfEC3dDbdFF5,2026-09-21T08:16:49+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0xD26DC9E38692aEa3F37D7637249a4aFbC1e1C7a2,2026-09-21T08:16:49+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0x18fbD9aEef91e2a244074e03365cdB692bB7bBba,2026-09-21T08:16:47+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0xAf747AB7dDA260500aB57223B2726263C259a5a1,2026-09-21T08:16:47+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0xDa41652493293a4D7D166C4b1c3736664EfCD0E8,2026-09-21T08:16:43+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0xADbe2F44ac34b6a9B7a2DEb0822080f79c9F46B2,2026-09-21T08:16:43+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0xa94Ef708Fc567c86eEbb2549b7D7Dd537Ee1A442,2026-09-21T08:16:41+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0x69360e0650A7E29F45F00bD80945E45f2A11C1ec,2026-09-21T08:16:41+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0x74604863d835aacc6adE9296C26d9C6235cba761,2026-09-21T08:16:37+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0x3072754Ba262Dab6a6A60B8dAcC05cEf31bE71b3,2026-09-21T08:16:37+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0x90C5eB9Ff14642F88f7988e4D89315cBA8E4D0F0,2026-09-21T08:16:33+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0x0A2550Cc975a059Cc5E974Bb9e8F8b0A57e5DEFd,2026-09-21T08:16:33+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0x180A3dC86F251fd068a38AA6cF9B9bcD024Efb9c,2026-09-21T08:16:31+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0xb5d04A0542077B5b0e651f0c78e70962BD805F2d,2026-09-21T08:16:31+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0xa43439d1b022ec43D5e266aCaD011E3017677547,2026-09-21T08:16:29+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0xE42155554f488892e28A3701eab2399dB2Cc5219,2026-09-21T08:16:29+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0x55Bfe144AC42be4D651FE7f863244Db119EA0A25,2026-09-21T08:16:27+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
uniswap-v3,0x9A6a853c2DB8eb8D8dFE144a0fFCfE709a35cDda,2026-09-21T08:16:27+00:00,0,compiled_vault_expired_and_nft_release_succeeded,,,[]
